description,silhouette,fabric,neckline,sleeve,length,embellishment,color,category
"red cotton dress with short sleeves and round neck",A-line,cotton,round,short sleeves,unknown,none,red,casual
"blue chiffon sleeveless dress",A-line,chiffon,unknown,sleeveless,unknown,none,blue,evening
"black sequin gown with deep v neck",fitted,unknown,v-neck,sleeveless,long,sequin,black,evening
"green t shirt with half sleeves and crew neck",unknown,cotton,crew,half sleeves,unknown,none,green,casual
"yellow floral summer dress",A-line,unknown,unknown,sleeveless,short,floral,yellow,casual
"pink satin gown with spaghetti straps",fitted,satin,unknown,sleeveless,long,none,pink,evening
"white lace wedding dress with long sleeves",mermaid,lace,unknown,long sleeves,long,lace,white,bridal
"navy blue velvet dress with square neckline",fitted,velvet,square,long sleeves,long,none,blue,formal
"orange casual top with short sleeves",unknown,cotton,unknown,short sleeves,unknown,none,orange,casual
"purple chiffon maxi dress with v neck",A-line,chiffon,v-neck,sleeveless,long,none,purple,evening
"grey hoodie with long sleeves",unknown,cotton,hooded,long sleeves,unknown,none,grey,casual
"black leather jacket with zipper",unknown,leather,unknown,long sleeves,unknown,none,black,casual
"white cotton shirt with full sleeves",unknown,cotton,collar,long sleeves,unknown,none,white,formal
"blue denim jeans",unknown,denim,unknown,unknown,unknown,none,blue,casual
"green silk saree with embroidery",unknown,silk,unknown,unknown,long,embroidery,green,traditional
"red lehenga with heavy embroidery",A-line,unknown,unknown,unknown,long,embroidery,red,traditional
"black kurta with long sleeves",straight,cotton,unknown,long sleeves,unknown,none,black,ethnic
"yellow tulle gown with floral embroidery",A-line,tulle,unknown,sleeveless,long,embroidery,yellow,evening
"brown wool sweater with full sleeves",unknown,wool,round,long sleeves,unknown,none,brown,winter
"white tank top",unknown,cotton,unknown,sleeveless,unknown,none,white,casual
"blue formal shirt with collar neck",unknown,cotton,collar,long sleeves,unknown,none,blue,formal
"black evening dress with slit",fitted,unknown,unknown,sleeveless,long,none,black,evening
"pink party dress with sequins",A-line,unknown,unknown,sleeveless,short,sequin,pink,party
"green crop top with straps",unknown,cotton,unknown,sleeveless,short,none,green,casual
"orange maxi dress with floral print",A-line,unknown,unknown,sleeveless,long,floral,orange,casual
"red silk gown with long sleeves",fitted,silk,unknown,long sleeves,long,none,red,evening
"white bridal gown with lace sleeves",A-line,lace,unknown,long sleeves,long,lace,white,bridal
"black mini dress with sleeveless design",fitted,unknown,unknown,sleeveless,short,none,black,party
"blue kurti with embroidery",straight,cotton,unknown,half sleeves,unknown,embroidery,blue,ethnic
"yellow summer dress with cap sleeves",A-line,unknown,unknown,cap sleeves,short,none,yellow,casual
"purple velvet gown with square neck",fitted,velvet,square,long sleeves,long,none,purple,evening
"grey casual t shirt",unknown,cotton,crew,short sleeves,unknown,none,grey,casual
"brown jacket with full sleeves",unknown,leather,unknown,long sleeves,unknown,none,brown,casual
"white formal shirt",unknown,cotton,collar,long sleeves,unknown,none,white,formal
"blue sports t shirt",unknown,polyester,crew,short sleeves,unknown,none,blue,sports
"red party gown with sequins",fitted,unknown,unknown,sleeveless,long,sequin,red,party
"black hoodie",unknown,cotton,hooded,long sleeves,unknown,none,black,casual
"green silk dress with embroidery",A-line,silk,unknown,sleeveless,long,embroidery,green,evening
"yellow crop top",unknown,cotton,unknown,sleeveless,short,none,yellow,casual
"pink satin dress with straps",A-line,satin,unknown,sleeveless,short,none,pink,party
"navy blue blazer",unknown,wool,collar,long sleeves,unknown,none,blue,formal
"white kurta pajama set",straight,cotton,unknown,long sleeves,long,none,white,ethnic
"black saree with sequin border",unknown,unknown,unknown,unknown,long,sequin,black,traditional
"red dupatta with embroidery",unknown,unknown,unknown,unknown,unknown,embroidery,red,traditional
"green lehenga choli set",A-line,unknown,unknown,unknown,long,none,green,traditional
"blue night dress",unknown,cotton,unknown,sleeveless,unknown,none,blue,nightwear
"grey tracksuit",unknown,polyester,unknown,long sleeves,unknown,none,grey,sports
"yellow cardigan with buttons",unknown,wool,round,long sleeves,unknown,none,yellow,winter
"purple party gown with slit",fitted,unknown,unknown,sleeveless,long,none,purple,party
"black formal trousers",unknown,polyester,unknown,unknown,long,none,black,formal
"ivory satin ball gown with corset bodice and sweep train",ball gown,satin,sweetheart,strapless,long,none,ivory,bridal
"floor length chiffon bridesmaid dress with pleated bodice and v neckline",A-line,chiffon,v-neck,sleeveless,long,none,sage,bridesmaid
"sparkly sequin fitted prom gown with deep illusion neckline and open back",fitted,unknown,illusion,sleeveless,long,sequin,black,prom
"off shoulder satin ball gown with corset bodice in royal navy",ball gown,satin,off-shoulder,sleeveless,long,none,navy,evening
"lace mermaid wedding dress with long sleeves and scalloped hem",mermaid,lace,unknown,long sleeves,long,lace,white,bridal
"short cocktail dress with feather trim and beaded waist detail",fitted,unknown,unknown,sleeveless,short,feather trim,black,cocktail
"tulle a line evening gown with floral embroidery and cap sleeves",A-line,tulle,unknown,cap sleeves,long,embroidery,blush,evening
"stretch jersey sheath dress with ruched waist and side slit",sheath,jersey,unknown,sleeveless,long,none,red,evening
"strapless sweetheart neckline glitter gown with layered skirt",ball gown,unknown,sweetheart,strapless,long,glitter,gold,party
"one shoulder draped chiffon dress with high slit and empire waist",empire,chiffon,one-shoulder,unknown,long,none,emerald,evening
"velvet winter formal dress with square neckline and puff sleeves",A-line,velvet,square,puff sleeves,long,none,maroon,formal
"blush pink tulle prom gown with sweetheart neckline and beading",ball gown,tulle,sweetheart,strapless,long,beading,pink,prom
"champagne satin mermaid gown with illusion back and long sleeves",mermaid,satin,illusion,long sleeves,long,lace,champagne,evening
"burgundy velvet bridesmaid dress with v neckline and cap sleeves",A-line,velvet,v-neck,cap sleeves,long,none,burgundy,bridesmaid
"white lace ball gown wedding dress with sweetheart neckline",ball gown,lace,sweetheart,sleeveless,long,lace,white,bridal
"black sequin cocktail dress with one shoulder neckline",fitted,unknown,one-shoulder,sleeveless,short,sequin,black,cocktail
"dusty blue chiffon bridesmaid dress with off shoulder sleeves",A-line,chiffon,off-shoulder,cap sleeves,long,none,dusty blue,bridesmaid
"gold sequin prom gown with illusion neckline and open back",fitted,unknown,illusion,sleeveless,long,sequin,gold,prom
"ivory tulle wedding gown with corset bodice and beaded lace",ball gown,tulle,sweetheart,strapless,long,beading,ivory,bridal
"emerald green satin gown with halter neckline and thigh slit",sheath,satin,halter,sleeveless,long,none,emerald,evening
"lavender chiffon prom dress with empire waist and cap sleeves",empire,chiffon,v-neck,cap sleeves,long,none,lavender,prom
"red velvet formal gown with square neckline and long sleeves",sheath,velvet,square,long sleeves,long,none,red,formal
"silver sequin ball gown with strapless sweetheart neckline",ball gown,unknown,sweetheart,strapless,long,sequin,silver,party
"navy chiffon cocktail dress with illusion sleeves and beading",fitted,chiffon,illusion,long sleeves,short,beading,navy,cocktail
"rose gold tulle prom gown with off shoulder neckline",ball gown,tulle,off-shoulder,cap sleeves,long,glitter,rose gold,prom
"black satin sheath dress with one shoulder draping and slit",sheath,satin,one-shoulder,unknown,long,none,black,evening
"mint green chiffon bridesmaid dress with v neckline and empire waist",empire,chiffon,v-neck,sleeveless,long,none,mint,bridesmaid
"ivory mermaid wedding gown with illusion lace sleeves",mermaid,lace,illusion,long sleeves,long,lace,ivory,bridal
"deep plum velvet evening gown with square neckline and puff sleeves",A-line,velvet,square,puff sleeves,long,none,plum,evening
"blush tulle ball gown with sweetheart neckline and floral embellishment",ball gown,tulle,sweetheart,strapless,long,floral,blush,prom
"black cocktail dress with feather trim and open back",fitted,unknown,unknown,sleeveless,short,feather trim,black,cocktail
"champagne sequin gown with illusion neckline and cap sleeves",fitted,unknown,illusion,cap sleeves,long,sequin,champagne,evening
"dusty rose chiffon prom gown with corset bodice and layered skirt",ball gown,chiffon,sweetheart,strapless,long,none,dusty rose,prom
"royal blue satin gown with off shoulder sleeves and thigh slit",sheath,satin,off-shoulder,cap sleeves,long,none,royal blue,evening
"white lace wedding gown with empire waist and long sleeves",empire,lace,v-neck,long sleeves,long,lace,white,bridal
"burgundy velvet cocktail dress with v neckline and beading",fitted,velvet,v-neck,sleeveless,short,beading,burgundy,cocktail
"gold glitter ball gown with strapless neckline and layered tulle skirt",ball gown,tulle,unknown,strapless,long,glitter,gold,party
"sage chiffon bridesmaid dress with pleated bodice and cap sleeves",A-line,chiffon,v-neck,cap sleeves,long,none,sage,bridesmaid
"black satin ball gown with corset bodice and sweep train",ball gown,satin,sweetheart,strapless,long,none,black,evening
"peach tulle prom dress with illusion neckline and beading",A-line,tulle,illusion,sleeveless,long,beading,peach,prom
"navy velvet formal gown with off shoulder sleeves",A-line,velvet,off-shoulder,cap sleeves,long,none,navy,formal
"ivory satin mermaid gown with scalloped lace hem",mermaid,satin,sweetheart,sleeveless,long,lace,ivory,bridal
"red sequin cocktail dress with one shoulder draping",fitted,unknown,one-shoulder,sleeveless,short,sequin,red,cocktail
"lilac chiffon evening gown with empire waist and puff sleeves",empire,chiffon,v-neck,puff sleeves,long,none,lilac,evening
"black velvet gown with square neckline and full length sleeves",sheath,velvet,square,long sleeves,long,none,black,formal
"blush satin prom gown with sweetheart neckline and thigh slit",fitted,satin,sweetheart,sleeveless,long,none,blush,prom
"white tulle ball gown wedding dress with beaded corset bodice",ball gown,tulle,sweetheart,strapless,long,beading,white,bridal
"emerald velvet cocktail dress with illusion neckline",fitted,velvet,illusion,sleeveless,short,none,emerald,cocktail
